Domain,Type,Sponsoring Organisation,Date
.epson,generic,Seiko Epson Corporation,2025-02-06
.equipment,generic,"Corn Station, LLC",2025-02-06
.erni,generic,ERNI Group Holding AG,2025-02-06
.esq,generic,Charleston Road Registry Inc.,2025-02-06
.estate,generic,"Trixy Park, LLC",2025-02-06
.eurovision,generic,European Broadcasting Union (EBU),2025-02-06
.eus,generic,Puntueus Fundazioa,2025-02-06
.events,generic,"Pioneer Maple, LLC",2025-02-06
.everbank,generic,EverBank,2025-02-06
.exchange,generic,"Spring Falls, LLC",2025-02-06
.expert,generic,"Magic Pass, LLC",2025-02-06
.exposed,generic,"Victor Beach, LLC",2025-02-06
.express,generic,"Sea Sunset, LLC",2025-02-06
.fail,generic,"Atomic Pipe, LLC",2025-02-06
.faith,generic,dot Faith Limited,2025-02-06
.fan,generic,Asiamix Digital Ltd,2025-02-06
.fans,generic,Asiamix Digital Limited,2025-02-06
.farm,generic,"Just Maple, LLC",2025-02-06
.fashion,generic,Top Level Domain Holdings Limited,2025-02-06
.feedback,generic,"Top Level Spectrum, Inc.",2025-02-06
.film,generic,Motion Picture Domain Registry Pty Ltd,2025-02-06
.finance,generic,"Cotton Cypress, LLC",2025-02-06
.financial,generic,"Just Cover, LLC",2025-02-06
.firmdale,generic,Firmdale Holdings Limited,2025-02-06
.fish,generic,"Fox Woods, LLC",2025-02-06
.fishing,generic,Top Level Domain Holdings Limited,2025-02-06
.fit,generic,Minds + Machines Group Limited,2025-02-06
.fitness,generic,"Brice Orchard, LLC",2025-02-06
.flights,generic,"Fox Station, LLC",2025-02-06
.florist,generic,"Half Cypress, LLC",2025-02-06
.flowers,generic,"Uniregistry, Corp.",2025-02-06
.flsmidth,generic,FLSmidth A/S,2025-02-06
.fly,generic,Charleston Road Registry Inc.,2025-02-06
.foo,generic,Charleston Road Registry Inc.,2025-02-06
.football,generic,"Foggy Farms, LLC",2025-02-06
.forex,generic,DOTFOREX REGISTRY LTD,2025-02-06
.forsale,generic,"United TLD Holdco, LLC",2025-02-06
.foundation,generic,"John Dale, LLC",2025-02-06
.frl,generic,FRLregistry B.V.,2025-02-06
.frogans,generic,OP3FT,2025-02-06
.fund,generic,"John Castle, LLC",2025-02-06
.furniture,generic,"Lone Fields, LLC",2025-02-06
.futbol,generic,"United TLD Holdco, Ltd.",2025-02-06
.gal,generic,Asociación puntoGAL,2025-02-06
.gallery,generic,"Sugar House, LLC",2025-02-06
.garden,generic,Top Level Domain Holdings Limited,2025-02-06
.gbiz,generic,Charleston Road Registry Inc.,2025-02-06
.gdn,generic,"Joint Stock Company ""Navigation-information systems""",2025-02-06
.gent,generic,COMBELL GROUP NV/SA,2025-02-06
.ggee,generic,"GMO Internet, Inc.",2025-02-06
.gift,generic,"Uniregistry, Corp.",2025-02-06
.gifts,generic,"Goose Sky, LLC",2025-02-06
.gives,generic,United TLD Holdco Ltd.,2025-02-06
.glass,generic,"Black Cover, LLC",2025-02-06
.gle,generic,Charleston Road Registry Inc.,2025-02-06
.global,generic,Dot Global Domain Registry Limited,2025-02-06
.globo,generic,Globo Comunicação e Participações S.A,2025-02-06
.gmail,generic,Charleston Road Registry Inc.,2025-02-06
.gmo,generic,"GMO Internet, Inc.",2025-02-06
.gmx,generic,1&1 Mail & Media GmbH,2025-02-06
.gold,generic,"June Edge, LLC",2025-02-06
.goldpoint,generic,"YODOBASHI CAMERA CO.,LTD.",2025-02-06
.golf,generic,"Lone Falls, LLC",2025-02-06
.goo,generic,NTT Resonant Inc.,2025-02-06
.goog,generic,Charleston Road Registry Inc.,2025-02-06
.google,generic,Charleston Road Registry Inc.,2025-02-06
.gop,generic,"Republican State Leadership Committee, Inc.",2025-02-06
.graphics,generic,"Over Madison, LLC",2025-02-06
.gratis,generic,"Pioneer Tigers, LLC",2025-02-06
.green,generic,Afilias Limited,2025-02-06
.gripe,generic,"Corn Sunset, LLC",2025-02-06
.guge,generic,Charleston Road Registry Inc.,2025-02-06
.guide,generic,"Snow Moon, LLC",2025-02-06
.guitars,generic,"Uniregistry, Corp.",2025-02-06
.guru,generic,"Pioneer Cypress, LLC",2025-02-06
.hamburg,generic,Hamburg Top-Level-Domain GmbH,2025-02-06
.hangout,generic,Charleston Road Registry Inc.,2025-02-06
.haus,generic,"United TLD Holdco, LTD.",2025-02-06
.healthcare,generic,"Silver Glen, LLC",2025-02-06
.help,generic,"Uniregistry, Corp.",2025-02-06
.here,generic,Charleston Road Registry Inc.,2025-02-06
.hermes,generic,Hermes International,2025-02-06
.hiphop,generic,"Uniregistry, Corp.",2025-02-06
.hiv,generic,dotHIV gemeinnuetziger e.V.,2025-02-06
.holdings,generic,"John Madison, LLC",2025-02-06
.holiday,generic,"Goose Woods, LLC",2025-02-06
.homes,generic,"DERHomes, LLC",2025-02-06
.horse,generic,Top Level Domain Holdings Limited,2025-02-06
.host,generic,DotHost Inc.,2025-02-06
.hosting,generic,"Uniregistry, Corp.",2025-02-06
.house,generic,"Sugar Park, LLC",2025-02-06
.how,generic,Charleston Road Registry Inc.,2025-02-06
.ibm,generic,International Business Machines Corporation,2025-02-06
.ifm,generic,ifm electronic gmbh,2025-02-06
.immo,generic,"Auburn Bloom, LLC",2025-02-06
.immobilien,generic,United TLD Holdco Ltd.,2025-02-06
.industries,generic,"Outer House, LLC",2025-02-06
.infiniti,generic,"NISSAN MOTOR CO., LTD.",2025-02-06
.info,generic,Afilias Limited,2025-02-06
.ing,generic,Charleston Road Registry Inc.,2025-02-06
.ink,generic,"Top Level Design, LLC",2025-02-06
.institute,generic,"Outer Maple, LLC",2025-02-06
.insure,generic,"Pioneer Willow, LLC",2025-02-06
.international,generic,"Wild Way, LLC",2025-02-06
.investments,generic,"Holly Glen, LLC",2025-02-06
.irish,generic,Dot-Irish LLC,2025-02-06
.iwc,generic,Richemont DNS Inc.,2025-02-06
.java,generic,Oracle Corporation,2025-02-06
.jcb,generic,"JCB Co., Ltd.",2025-02-06
.jetzt,generic,New TLD Company AB,2025-02-06
.joburg,generic,ZA Central Registry NPC trading as ZA Central Registry,2025-02-06
.juegos,generic,"Uniregistry, Corp.",2025-02-06
.kaufen,generic,United TLD Holdco Ltd.,2025-02-06
.kddi,generic,KDDI CORPORATION,2025-02-06
.kim,generic,Afilias Limited,2025-02-06
.kitchen,generic,"Just Goodbye, LLC",2025-02-06
.kiwi,generic,DOT KIWI LIMITED,2025-02-06
.koeln,generic,NetCologne Gesellschaft für Telekommunikation mbH,2025-02-06
.komatsu,generic,Komatsu Ltd.,2025-02-06
.krd,generic,KRG Department of Information Technology,2025-02-06
.kred,generic,KredTLD Pty Ltd,2025-02-06
.kyoto,generic,Academic Institution: Kyoto Jyoho Gakuen,2025-02-06
.lacaixa,generic,CAIXA D'ESTALVIS I PENSIONS DE BARCELONA,2025-02-06
.land,generic,"Pine Moon, LLC",2025-02-06
.lat,generic,ECOM-LAC Federación de Latinoamérica y el Caribe para Internet y el Comercio Electrónico,2025-02-06
.latrobe,generic,La Trobe University,2025-02-06
.lawyer,generic,"United TLD Holdco, Ltd",2025-02-06
.lds,generic,"IRI Domain Management, LLC",2025-02-06
.lease,generic,"Victor Trail, LLC",2025-02-06
.leclerc,generic,A.C.D. LEC Association des Centres Distributeurs Edouard Leclerc,2025-02-06
.legal,generic,"Blue Falls, LLC",2025-02-06
.lgbt,generic,Afilias Limited,2025-02-06
.lidl,generic,Schwarz Domains und Services GmbH & Co. KG,2025-02-06
.life,generic,"Trixy Oaks, LLC",2025-02-06
.lighting,generic,"John McCook, LLC",2025-02-06
.limited,generic,"Big Fest, LLC",2025-02-06
.limo,generic,"Hidden Frostbite, LLC",2025-02-06
.link,generic,"Uniregistry, Corp.",2025-02-06
.loan,generic,dot Loan Limited,2025-02-06
.loans,generic,"June Woods, LLC",2025-02-06
.london,generic,Dot London Domains Limited,2025-02-06
.lotte,generic,"Lotte Holdings Co., Ltd.",2025-02-06
.lotto,generic,Afilias Limited,2025-02-06
.love,generic,Merchant Law Group LLP,2025-02-06
.ltda,generic,InterNetX Corp.,2025-02-06
