Domain,Type,Sponsoring Organisation,Date
.graphics,generic,"Over Madison, LLC",2025-02-04
.gratis,generic,"Pioneer Tigers, LLC",2025-02-04
.green,generic,Afilias Limited,2025-02-04
.gripe,generic,"Corn Sunset, LLC",2025-02-04
.guge,generic,Charleston Road Registry Inc.,2025-02-04
.guide,generic,"Snow Moon, LLC",2025-02-04
.guitars,generic,"Uniregistry, Corp.",2025-02-04
.guru,generic,"Pioneer Cypress, LLC",2025-02-04
.hamburg,generic,Hamburg Top-Level-Domain GmbH,2025-02-04
.hangout,generic,Charleston Road Registry Inc.,2025-02-04
.haus,generic,"United TLD Holdco, LTD.",2025-02-04
.healthcare,generic,"Silver Glen, LLC",2025-02-04
.help,generic,"Uniregistry, Corp.",2025-02-04
.here,generic,Charleston Road Registry Inc.,2025-02-04
.hermes,generic,Hermes International,2025-02-04
.hiphop,generic,"Uniregistry, Corp.",2025-02-04
.hiv,generic,dotHIV gemeinnuetziger e.V.,2025-02-04
.holdings,generic,"John Madison, LLC",2025-02-04
.holiday,generic,"Goose Woods, LLC",2025-02-04
.homes,generic,"DERHomes, LLC",2025-02-04
.horse,generic,Top Level Domain Holdings Limited,2025-02-04
.host,generic,DotHost Inc.,2025-02-04
.hosting,generic,"Uniregistry, Corp.",2025-02-04
.house,generic,"Sugar Park, LLC",2025-02-04
.how,generic,Charleston Road Registry Inc.,2025-02-04
.ibm,generic,International Business Machines Corporation,2025-02-04
.ifm,generic,ifm electronic gmbh,2025-02-04
.immo,generic,"Auburn Bloom, LLC",2025-02-04
.immobilien,generic,United TLD Holdco Ltd.,2025-02-04
.industries,generic,"Outer House, LLC",2025-02-04
.infiniti,generic,"NISSAN MOTOR CO., LTD.",2025-02-04
.info,generic,Afilias Limited,2025-02-04
.ing,generic,Charleston Road Registry Inc.,2025-02-04
.ink,generic,"Top Level Design, LLC",2025-02-04
.institute,generic,"Outer Maple, LLC",2025-02-04
.insure,generic,"Pioneer Willow, LLC",2025-02-04
.international,generic,"Wild Way, LLC",2025-02-04
.investments,generic,"Holly Glen, LLC",2025-02-04
.irish,generic,Dot-Irish LLC,2025-02-04
.iwc,generic,Richemont DNS Inc.,2025-02-04
.java,generic,Oracle Corporation,2025-02-04
.jcb,generic,"JCB Co., Ltd.",2025-02-04
.jetzt,generic,New TLD Company AB,2025-02-04
.joburg,generic,ZA Central Registry NPC trading as ZA Central Registry,2025-02-04
.juegos,generic,"Uniregistry, Corp.",2025-02-04
.kaufen,generic,United TLD Holdco Ltd.,2025-02-04
.kddi,generic,KDDI CORPORATION,2025-02-04
.kim,generic,Afilias Limited,2025-02-04
.kitchen,generic,"Just Goodbye, LLC",2025-02-04
.kiwi,generic,DOT KIWI LIMITED,2025-02-04
.koeln,generic,NetCologne Gesellschaft für Telekommunikation mbH,2025-02-04
.komatsu,generic,Komatsu Ltd.,2025-02-04
.krd,generic,KRG Department of Information Technology,2025-02-04
.kred,generic,KredTLD Pty Ltd,2025-02-04
.kyoto,generic,Academic Institution: Kyoto Jyoho Gakuen,2025-02-04
.lacaixa,generic,CAIXA D'ESTALVIS I PENSIONS DE BARCELONA,2025-02-04
.land,generic,"Pine Moon, LLC",2025-02-04
.lat,generic,ECOM-LAC Federación de Latinoamérica y el Caribe para Internet y el Comercio Electrónico,2025-02-04
.latrobe,generic,La Trobe University,2025-02-04
